,Paths,Accumulated Latency,Accumulated Noise,Accumulated SNR
82,B->F->D->C,0.027131099303123487,5.426219860624699e-06,52.16512545731305
83,B->F->D->E->C,0.05665587159680583,1.1331174319361169e-05,44.80197562414588
84,B->F->E->C,0.023905860330866585,4.781172066173318e-06,53.43069560407592
85,B->F->E->D->A->C,0.10933082281300996,2.1866164562602e-05,38.22814834039964
86,B->F->E->D->C,0.050640147786479364,1.0128029557295874e-05,45.92448495210179
87,B->A->C->D,0.042844100983011696,8.56882019660234e-06,47.596252225235474
88,B->A->C->E->D,0.09368674021901875,1.8737348043803756e-05,39.77236525323263
89,B->A->C->E->F->D,0.19700449623425326,3.940089924685066e-05,32.33966639414574
90,B->A->D,0.019619274853773853,3.923854970754771e-06,55.406806975046585
91,B->D,0.00412310562561766,8.246211251235323e-07,71.00586519388129
92,B->F->D,0.012151336089188648,2.4302672178377302e-06,60.19754061487152
93,B->F->E->C->A->D,0.10259360553656668,2.0518721107313343e-05,38.86417584826805
94,B->F->E->C->D,0.05141727193719716,1.0283454387439434e-05,45.772190454939626
95,B->F->E->D,0.023905860330866585,4.781172066173318e-06,53.43069560407592
96,B->A->C->D->E,0.08780952230958304,1.756190446191661e-05,40.42023242104876
97,B->A->C->D->F->E,0.18166446094401734,3.633289218880347e-05,33.15031827087378
98,B->A->C->E,0.044939426833043396,8.987885366608682e-06,47.118776787892656
99,B->A->D->C->E,0.08983483079008348,1.79669661580167e-05,40.19220420596859
100,B->A->D->E,0.04135987005110735,8.27197401022147e-06,47.94882103118791
101,B->A->D->F->E,0.08876515642706598,1.77530312854132e-05,40.31199000998386
